Ind,Phenotype
p1,-0.0370049
p2,1.14574
p3,1.70908
p4,-1.70744
p5,0.382437
p6,3.68062
p7,-3.21485
p8,0.854606
p9,-0.729967
p10,0.81648
p11,1.74157
p12,0.180477
p13,-3.21347
p14,1.48227
p15,-4.20446
p16,0.594812
p17,3.31837
p18,-1.72811
p19,-0.842242
p20,-1.01301
p21,-0.294213
p22,0.0356716
p23,-2.25582
p24,0.319816
p25,-4.42279
p26,0.407653
p27,-3.83564
p28,-0.581243
p29,-1.55896
p30,1.28013
p31,-5.27303
p32,-0.606988
p33,-0.0173265
p34,2.51576
p35,1.75682
p36,1.37857
p37,-0.954342
p38,-0.551004
p39,1.77426
p40,-0.963723
p41,-0.291303
p42,-1.69732
p43,0.502223
p44,0.907896
p45,1.04205
p46,-0.393245
p47,1.52654
p48,1.67942
p49,-0.681476
p50,-0.0850329
p51,-1.48898
p52,3.22496
p53,1.11273
p54,0.724291
p55,-0.655095
p56,0.397025
p57,-2.03606
p58,-0.389986
p59,-1.32614
p60,2.20118
p61,-1.95414
p62,-1.4983
p63,3.16105
p64,0.536772
p65,-1.07484
p66,3.56416
p67,-1.10373
p68,4.58379
p69,-1.95623
p70,-0.924317
p71,-2.58587
p72,-0.33241
p73,-0.69803
p74,0.129747
p75,-1.18922
p76,0.00505907
p77,-1.10389
p78,2.21613
p79,-2.47059
p80,-1.54066
p81,3.04244
p82,-2.93595
p83,1.44554
p84,-1.50639
p85,2.32527
p86,0.576332
p87,-2.52008
p88,0.577947
p89,2.93681
p90,0.921534
p91,0.78042
p92,0.109174
p93,-4.58286
p94,-0.760839
p95,0.343235
p96,-1.17448
p97,-0.37049
p98,-0.250344
p99,2.6002
p100,0.726129
p101,2.21068
p102,-2.07175
p103,1.13758
p104,-1.96838
p105,-0.0826232
p106,-0.479576
p107,4.07641
p108,-1.16727
p109,2.00852
p110,-4.23088
p111,1.90587
p112,-1.37834
p113,3.54767
p114,-1.07388
p115,0.864949
p116,-0.270455
p117,-3.02571
p118,-1.41646
p119,1.37057
p120,-0.188626
