"","SUBJECT.NAME","Obesity.BMI","Obesity.BodyLength","Obesity.Date.Month","Obesity.Date.Year","Obesity.Date.Season","Obesity.Date.StudyStartSeconds","Obesity.Date.Hour","Obesity.Date.StudyDay","GENDER","Obesity.EndNormalBW","CoatColour","CageDensity","Litter","cage","Biochem.Albumin","Biochem.ALP","Biochem.ALT","Biochem.AST","Biochem.Calcium","Biochem.Chloride","Biochem.Creatinine","Biochem.Glucose","Biochem.HDL","Biochem.LDL","Biochem.Phosphorous","Biochem.Potassium","Biochem.Sodium","Biochem.Tot.Cholesterol","Biochem.Tot.Protein","Biochem.Triglycerides","Biochem.Urea","Biochem.EndNormalBW","Biochem.Date.StudyDay","Biochem.Date.Season","Biochem.Date.Month","Biochem.Date.Year","Biochem.Age"
"1","A048005080",-0.52013166685422,8.2,5,2003,"spring",9072000,0,106,"F",25.3,"black",5,2,"19F",29.1,133,32,166,1.97,90,17,12.23,1.84,0.3,1.99,NA,123,3.01,50.5,0.44,5.4,25.3,138,"summer",6,2003,66
"2","A048006063",-0.401116443402858,8.2,3,2003,"spring",5443200,0,64,"M",31.6,"dark.brown",5,4,"13C",32.6,150,31,263,2.42,113,NA,7.5,NA,NA,2.49,NA,149,NA,51.3,NA,8.2,31.6,102,"spring",5,2003,73
"3","A048006555",-0.526935426394781,8.1,4,2003,"spring",6652800,0,78,"M",28.2,"silverado",4,1,"15C",27.7,54,NA,NA,1.71,89,18,5.97,1.35,0.32,NA,NA,119,3.57,48.8,0.44,5.9,28.2,116,"spring",5,2003,72
"4","A048007096",-0.415274210110944,7.6,3,2003,"spring",3628800,0,43,"M",27.1,"chocolate",4,4,"10B",32.1,161,51,130,2.49,110,21,10.61,1.93,0.31,2.68,6.8,148,2.61,53.5,0.57,9.7,27.1,NA,NA,NA,NA,66
"5","A048010273",-0.546143102252165,7.8,1,2003,"winter",-518400,0,-5,"F",20.9,"chocolate",6,1,"3E",26.1,145,23,89,2.14,96,19,11.88,1.3,0.34,2.22,NA,131,2.04,42.7,0.72,7.4,20.9,NA,NA,NA,NA,63
"6","A048010371",-0.394471030532468,6.7,3,2003,"spring",4838400,0,57,"M",22.8,"chocolate",7,3,"12A",28.2,199,22,83,2.16,100,24,10.55,2.01,0.37,2,NA,134,2.86,43.7,0.54,8.3,22.8,NA,NA,NA,NA,72
"7","A048011040",-0.54770232900537,6,3,2003,"spring",6048000,0,71,"M",14.4,"chocolate",3,1,"14C",NA,117,36,NA,1.72,82,NA,9.39,NA,NA,2.06,NA,110,NA,NA,NA,5.8,14.4,109,"spring",5,2003,70
"8","A048011287",-0.480725378988488,8.8,4,2003,"spring",8467200,0,99,"M",27.7,"chocolate",4,1,"18B",28.9,143,50,78,2.29,109,23,9.62,2.41,0.43,2.57,6.2,146,3.22,52,0.56,6.6,27.7,130,"spring",5,2003,66
"9","A048011567",-0.51376048439828,8.2,3,2003,"spring",6048000,0,71,"M",26.1,"black",4,3,"14D",33.2,81,NA,NA,1.64,81,18,5.11,NA,NA,NA,NA,113,NA,44.1,NA,7.3,26.1,109,"spring",5,2003,71
"10","A048013559",-0.512076423654605,7.5,2,2003,"winter",3024000,0,36,"F",20.9,"black",3,1,"9F",31.7,146,39,226,2.31,110,NA,4.96,NA,NA,NA,NA,144,2.29,48.9,NA,6.5,20.9,NA,NA,NA,NA,66
"11","A048015047",-0.465510577070553,6.9,5,2003,"spring",9072000,0,106,"M",20.1,"black",5,3,"19C",29.9,155,27,151,2.05,93,20,8.12,2.24,0.4,3.25,NA,127,4.04,40.7,0.32,8.3,20.1,137,"summer",6,2003,67
"12","A048017615",-0.478513544152695,8.1,2,2003,"winter",1209600,0,15,"M",23.5,"light.brown",7,1,"6A",30.5,142,23,86,2.31,105,27,10.07,2.11,0.36,2.45,NA,138,3.03,50.3,0.85,9.6,23.5,NA,NA,NA,NA,63
"13","A048021023",-0.413322321513422,7.6,3,2003,"spring",5443200,0,64,"M",25.7,"dark.brown",4,3,"13A",28.9,116,35,168,2.06,98,21,10.36,1.52,0.24,1.92,NA,130,2.62,44.6,0.46,6,25.7,102,"spring",5,2003,73
"14","A048022858",-0.618288603145986,8.5,4,2003,"spring",6652800,0,78,"F",20.1,"black",6,1,"15E",29.2,48,NA,359,NA,77,NA,6.5,0.81,0.36,2.36,NA,NA,3.87,45.5,NA,4.7,20.1,117,"spring",5,2003,73
"15","A048023355",-0.512347598844462,7.8,2,2003,"winter",3024000,0,36,"F",21.8,"black",5,2,"9E",30.9,146,33,91,2.47,116,23,12.44,1.96,0.37,NA,6.5,150,2.71,45.9,0.61,8,21.8,NA,NA,NA,NA,66
"16","A048028854",-0.51376048439828,8.2,7,2003,"summer",16329600,0,190,"F",20.4,"albino",4,2,"31G",31.5,147,32,110,1.98,96,NA,6.07,1.52,0.33,2.58,NA,133,2.73,49.7,0.17,10.6,20.4,222,"summer",8,2003,68
"17","A048028871",-0.455656300621807,7.5,3,2003,"spring",4838400,0,57,"F",24.3,"chocolate",4,1,"12E",34.8,171,23,76,2.39,102,28,NA,1.55,0.37,1.82,9.8,137,2.26,48.1,0.51,7.8,24.3,NA,NA,NA,NA,74
"18","A048029086",-0.444771157336776,7.5,7,2003,"summer",14515200,0,169,"F",23,"light.brown",5,1,"28G",33.3,197,10,105,2.01,85,18,9.44,0.99,0.4,2.96,NA,121,2.67,52.5,0.24,9.4,23,201,"summer",8,2003,64
"19","A048031067",-0.478008475624556,7,3,2003,"spring",3628800,0,43,"F",18.6,"chocolate",6,2,"10E",33.2,148,37,167,2.39,114,20,4.97,1.56,0.38,2.91,7.9,148,2.24,49.9,0.46,9,18.6,NA,NA,NA,NA,67
"20","A048031355",-0.527426373031058,8,2,2003,"winter",2419200,0,29,"F",21.3,"black",4,1,"8D",34.5,229,30,142,2.56,111,19,5.91,2.03,0.38,2.7,6.7,147,2.84,50.7,0.36,6.9,21.3,NA,NA,NA,NA,61
"21","A048031545",-0.488798955708062,7,4,2003,"spring",7862400,0,92,"F",17.4,"chocolate",4,6,"17H",32.8,71,30,167,1.8,89,NA,3.77,1.36,NA,3.08,NA,119,3.48,39.1,NA,9.7,17.4,124,"spring",5,2003,68
"22","A048031822",-0.485181536506704,8.6,3,2003,"spring",5443200,0,64,"M",29.7,"light.brown",5,4,"13C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","A048032099",-0.49651964617172,7.7,1,2003,"winter",-604800,0,-6,"M",22.7,"black",4,1,"3C",26.7,165,33,108,2.08,107,20,6.23,1.56,0.49,3.07,7.2,138,2.42,46.5,0.46,9,22.7,NA,NA,NA,NA,60
"24","A048032883",-0.424244023036039,6.6,5,2003,"spring",9676800,0,113,"M",19.9,"dark.brown",5,1,"20B",28.9,112,44,380,2,91,NA,10.4,1.04,0.44,2.67,NA,124,2.32,47.5,0.12,7.1,19.9,144,"summer",6,2003,64
"25","A048033069",-0.510576734848279,7.4,2,2003,"winter",2419200,0,29,"M",22,"chocolate",5,2,"8A",NA,204,33,NA,2.33,106,18,5.99,NA,NA,NA,NA,139,NA,NA,NA,9.1,22,NA,NA,NA,NA,60
"26","A048033354",-0.538573733806856,7.2,2,2003,"winter",1209600,0,15,"F",16.1,"chocolate",5,1,"6E",32.8,149,31,136,2.14,99,18,12.79,1.56,0.33,2.32,NA,133,2.59,52.1,0.29,9.4,16.1,NA,NA,NA,NA,64
"27","A048033618",-0.505216176701545,8.1,2,2003,"winter",1814400,0,22,"M",24,"light.brown",5,2,"7C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","A048034836",-0.496387475450735,7.8,2,2003,"winter",1814400,0,22,"M",23.7,"silverado",5,2,"7C",27.8,118,35,119,2.28,98,NA,10.47,2.11,0.53,2.64,NA,134,3.45,50.4,0.47,NA,23.7,NA,NA,NA,NA,64
"29","A048035291",-0.452096695129257,7.1,3,2003,"spring",5443200,0,64,"F",21.3,"black",3,2,"13H",NA,NA,NA,NA,NA,112,NA,7.95,NA,NA,2.45,NA,145,NA,NA,NA,5.2,21.3,103,"spring",5,2003,73
